NAME,LHD,LHD_val,Group,Group_val
"Alleghany County, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Botetourt County, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Craig County, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Roanoke County, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Covington city, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Salem city, Virginia",Alleghany LHD,1,Alleghany-Roanoke,1
"Roanoke city, Virginia",Roanoke LHD,2,Alleghany-Roanoke,1
"Augusta County, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Bath County, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Highland County, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Rockbridge County, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Rockingham County, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Buena Vista city, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Harrisonburg city, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Lexington city, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Staunton city, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Waynesboro city, Virginia",Central Shenandoah LHD,3,Central Shenandoah,2
"Amherst County, Virginia",Central Virginia LHD,4,Central Virginia,3
"Appomattox County, Virginia",Central Virginia LHD,4,Central Virginia,3
"Bedford County, Virginia",Central Virginia LHD,4,Central Virginia,3
"Campbell County, Virginia",Central Virginia LHD,4,Central Virginia,3
"Lynchburg city, Virginia",Central Virginia LHD,4,Central Virginia,3
"Charles City County, Virginia",Chickominy LHD,5,Chickahominy,4
"Goochland County, Virginia",Chickominy LHD,5,Chickahominy,4
"Hanover County, Virginia",Chickominy LHD,5,Chickahominy,4
"New Kent County, Virginia",Chickominy LHD,5,Chickahominy,4
"Dinwiddie County, Virginia",Crater LHD,6,Crater,5
"Greensville County, Virginia",Crater LHD,6,Crater,5
"Prince George County, Virginia",Crater LHD,6,Crater,5
"Surry County, Virginia",Crater LHD,6,Crater,5
"Sussex County, Virginia",Crater LHD,6,Crater,5
"Emporia city, Virginia",Crater LHD,6,Crater,5
"Hopewell city, Virginia",Crater LHD,6,Crater,5
"Petersburg city, Virginia",Crater LHD,6,Crater,5
"Chesterfield County, Virginia",Chesterfield LHD,7,Greater Richmond,6
"Powhatan County, Virginia",Chesterfield LHD,7,Greater Richmond,6
"Colonial Heights city, Virginia",Chesterfield LHD,7,Greater Richmond,6
"Henrico County, Virginia",Henrico LHD,8,Greater Richmond,6
"Richmond city, Virginia",Richmond LHD,9,Greater Richmond,6
"Chesapeake city, Virginia",Chesapeake LHD,10,Hampton Roads,7
"Hampton city, Virginia",Hampton LHD,11,Hampton Roads,7
"Norfolk city, Virginia",Norfolk LHD,12,Hampton Roads,7
"Portsmouth city, Virginia",Portsmouth LHD,13,Hampton Roads,7
"Virginia Beach city, Virginia",Virginia Beach LHD,14,Hampton Roads,7
"Clarke County, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Frederick County, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Page County, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Shenandoah County, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Warren County, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Winchester city, Virginia",Lord Fairfax LHD,15,Lord Fairfax,8
"Floyd County, Virginia",New River LHD,16,New River,9
"Giles County, Virginia",New River LHD,16,New River,9
"Montgomery County, Virginia",New River LHD,16,New River,9
"Pulaski County, Virginia",New River LHD,16,New River,9
"Radford city, Virginia",New River LHD,16,New River,9
"Alexandria city, Virginia",Alexandria LHD,17,Northern Virginia,10
"Arlington County, Virginia",Arlington LHD,18,Northern Virginia,10
