Group_LHD,Intercept,Slope
Southwest Virginia,73.134,4.288
Northern Virginia,79.709,2.354
Chesapeake,75.27,5.78
Hampton Roads,71.78,4.838
Piedmont-Southside,74.354,1.987
Upper Rappahannock River,77.28,3.26
Greater Richmond,71.532,6.282
Alleghany-Roanoke,70.416,6.628
Central Shenandoah,73.422,5.002
Central Virginia,71.966,4.722
Chickahominy,76.38,3.878
Crater,65.936,8.326
Lord Fairfax,75.502,5.115
New River,73.455,4.123
Peninsula,72.378,5.525
Pittsylvania-Danville,68.925,5.797
Prince William,78.088,1.952
Thomas Jefferson,73.47,6.27
West Piedmont,70.094,5.106
Western Tidewater,72.3,4.268
