GEOID,LHD_ID,LHD_Label,Group_LHD,HSARegion_ID,HSARegion_Label,LEB_Imputed,LEB_Raw,Access_to_Healthcare_Index,Access_to_Employment_Index,Affordability_Index,Air_Quality_Index,Pop_Churning_Index,Education_Index,Food_Access_Index,Income_Inequality_Index,Job_Participation_Index,Pop_Density_Index,Segregation_Index,Townsend_Index,Walkability_Index,Access_to_Healthcare_Index_Z_Score,Access_to_Employment_Index_Z_Score,Affordability_Index_Z_Score,Air_Quality_Index_Z_Score,Pop_Churning_Index_Z_Score,Education_Index_Z_Score,Food_Access_Index_Z_Score,Income_Inequality_Index_Z_Score,Job_Participation_Index_Z_Score,Pop_Density_Index_Z_Score,Segregation_Index_Z_Score,Townsend_Index_Z_Score,Walkability_Index_Z_Score,HOI,Access to Care,Employment Access,Affordability,Air Quality,Population Churning,Education,Food Accessibility,Income Inequality,Job Participation,Population Density,Spatial Segregation,Material Deprevation,Walkability
51510200102,1,Alexandria,Northern Virginia,2,HSA II,82.5,82.5,0.464408159,0.123707371,0.576576577,0.670120719,0.756997455,0.734769901,0.066697553,0.485695007,0.823,0.150295436,0.915115454,0.325623521,0.328239262,0.277432837,0.564990483,0.271921708,-1.423055142,-0.512014161,-0.045932849,0.009637529,0.204324442,1.439950844,1.603643633,1.040788406,-0.921678763,1.352791764,0.086968266,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200103,1,Alexandria,Northern Virginia,2,HSA II,79.2,79.2,0.465968249,0.141959972,0.510510511,0.616081598,0.756997455,0.72491891,0.066697553,0.456410256,0.796,0.298570957,0.831973853,0.298160929,0.168021559,0.29011999,1.014933896,-0.233991504,-1.916046715,-0.512014161,-0.170436945,0.009637529,-0.125187351,1.202877285,3.830033241,0.558170425,-1.114840483,-0.144909786,-0.138458102,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200104,1,Alexandria,Northern Virginia,2,HSA II,77.66968125,,0.444858992,0.125980066,0.521521522,0.643209503,0.606870229,0.734893406,0.066697553,0.508232119,0.764,0.148553135,0.760878905,0.292208757,0.224217752,0.118452682,0.621014522,-0.149672635,-1.668562515,-1.703540058,-0.044371902,0.009637529,0.457911858,0.921901216,1.577482592,0.145480518,-1.156705857,0.380407478,-0.198597068,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200105,1,Alexandria,Northern Virginia,2,HSA II,75.4,75.4,0.442811334,0.134115347,0.523523524,0.580365712,0.786259542,0.747167337,0.066697553,0.512820513,0.831,0.666856184,0.748034534,0.195269836,0.266506584,0.101800466,0.821556668,-0.134341932,-2.241877894,-0.279767588,0.110755109,0.009637529,0.509540434,1.510194861,9.359917028,0.070921881,-1.838538378,0.775719906,0.010274745,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200106,1,Alexandria,Northern Virginia,2,HSA II,80.2,80.2,0.442811334,0.088872567,0.61961962,0.804315825,0.805343511,0.802268516,0.066697553,0.430364372,0.616,0.193837427,0.913188928,0.305863158,0.283657079,0.101800466,-0.293719455,0.601531831,-0.198811402,-0.128302432,0.807164538,0.009637529,-0.418255443,-0.377613106,2.257436221,1.029605358,-1.06066585,0.936041285,0.366583428,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200107,1,Alexandria,Northern Virginia,2,HSA II,81.51592678,,0.440439276,0.128420212,0.621621622,0.770549468,0.580152672,0.851515571,0.066697553,0.476653171,0.885,0.296107972,0.687722675,0.374080192,0.359962572,0.082510118,0.681166346,0.616862534,-0.506857295,-1.915591277,1.429585223,0.009637529,0.102585778,1.984341978,3.793050966,-0.279174667,-0.580852459,1.649338586,0.696707869,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200201,1,Alexandria,Northern Virginia,2,HSA II,84.2,84.2,0.432787807,0.113634745,0.652652653,0.663366241,0.713740458,0.843605264,0.066697553,0.425775978,0.771,0.05739934,0.762601365,0.395921849,0.266395992,0.020285898,0.31669101,0.854488437,-1.48467533,-0.855335182,1.329608916,0.009637529,-0.469884019,0.983364731,0.208788293,0.155479003,-0.427226321,0.774686102,0.661931826,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200202,1,Alexandria,Northern Virginia,2,HSA II,82.9,82.9,0.43157985,0.08433213,0.778778779,0.655330051,0.87913486,0.901743805,0.066697553,0.418353576,0.64,0.031674575,0.861662773,0.693849156,0.173827078,0.010462402,-0.405645403,1.82032275,-1.557988397,0.45736284,2.064406764,0.009637529,-0.553400833,-0.166881054,-0.177474722,0.730507816,1.668284181,-0.090640285,1.370306384,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200301,1,Alexandria,Northern Virginia,2,HSA II,80.5,80.5,0.442811334,0.122639933,0.61961962,0.629866072,0.790076336,0.799537575,0.066697553,0.575843455,0.807,0.330200004,0.611331518,0.350689462,0.204477959,0.101800466,0.538677166,0.601531831,-1.790292825,-0.249474557,0.772648892,0.009637529,1.218674108,1.299462809,4.304950337,-0.722607859,-0.745374202,0.195881561,0.459730506,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200302,1,Alexandria,Northern Virginia,2,HSA II,81.6,81.6,0.442811334,0.123254472,0.674674675,0.678810549,0.731552163,0.796745808,0.066697553,0.471255061,0.781,0.183257027,0.873860416,0.38229574,0.204992353,0.101800466,0.553826113,1.023126174,-1.343779008,-0.713967703,0.737364472,0.009637529,0.041846277,1.071169752,2.098569174,0.801312346,-0.523067333,0.200690073,0.545731235,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200303,1,Alexandria,Northern Virginia,2,HSA II,81.4,81.4,0.442811334,0.114122557,0.567567568,0.59602785,0.624681934,0.785355308,0.066697553,0.488259109,0.768,0.507336211,0.96420762,0.284449426,0.269957245,0.101800466,0.328716002,0.202933543,-2.098994334,-1.562172579,0.593402912,0.009637529,0.233175705,0.957023224,6.964689499,1.3257572,-1.211282121,0.807976394,0.213393139,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200403,1,Alexandria,Northern Virginia,2,HSA II,80.9070581,,0.43997815,0.176956148,0.714714715,0.983707269,0.669211196,0.860431779,0.066697553,0.629554656,0.902,0.032058792,0.694941031,0.628899429,0.285489228,0.078760092,1.877621797,1.329740242,1.437752403,-1.208753881,1.542274851,0.009637529,1.823032143,2.133610515,-0.171705621,-0.23727376,1.211451823,0.953168059,1.172641832,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200404,1,Alexandria,Northern Virginia,2,HSA II,80.9,80.9,0.441409898,0.13414305,0.708708709,0.966384865,0.739185751,0.904710211,0.066697553,0.549527665,0.817,0.172506727,0.924923813,0.561226864,0.738628236,0.090403531,0.82223957,1.283748132,1.27972246,-0.65338164,2.101898396,0.009637529,0.922569041,1.387267831,1.937151051,1.097723685,0.735468023,5.189073217,1.381178863,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200405,1,Alexandria,Northern Virginia,2,HSA II,79.92356808,,0.443668448,0.146695955,0.540540541,0.701650744,0.553435115,0.817664378,0.066697553,0.47611336,0.842,0.184622884,0.955280202,0.24876467,0.296342516,0.108770795,1.131680211,-0.004030953,-1.135411007,-2.127642496,1.001748817,0.009637529,0.096511828,1.606780385,2.11907783,1.273935582,-1.462275498,1.054623678,0.266907281,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200406,1,Alexandria,Northern Virginia,2,HSA II,82.8,82.8,0.445716106,0.117014925,0.607607608,0.789319678,0.751908397,0.767873857,0.066697553,0.606747638,0.857,0.268777491,0.722800562,0.255628961,0.302384546,0.125423012,0.400015552,0.509547611,-0.335619211,-0.55240487,0.372459415,0.009637529,1.566407751,1.738487917,3.382677776,-0.075555553,-1.413994613,1.111104064,0.290103789,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
51510200407,1,Alexandria,Northern Virginia,2,HSA II,82.1,82.1,0.458152323,0.094355256,0.608608609,0.80661579,0.872773537,0.830929833,0.066697553,0.518353576,0.722,0.427245864,0.880021077,0.345032028,0.28976175,0.226558348,-0.158566122,0.517212962,-0.177829131,0.406874455,1.169407451,0.009637529,0.571798423,0.553120124,5.762115308,0.83707357,-0.785166506,0.993107233,0.653350599,0.01,0.17,0.01,0.05,0.28,0.17,0.12,0.06,0.01,0.01,0.01,0.09,0.02
